省	市	区	地址
华泾镇地段医院			
黑龙江省	牡丹江市	宁安市	东京城林业局职工医院
上海市	上海市	复旦大学附属华山医院永和分院	
上海市	上海市	静安区	闸北中心医院
上海市	上海市	静安区	市北医院
上海市	上海市	海军上海市保障基地医院	
上海市	上海市	闵行区	中心医院
上海市	上海市	松江区	乐都医院
上海市	上海市	金山区	亭林医院
江苏省	镇江市	润州区	黄山医院
天津市	天津市	津市市	延安医院
天津市	天津市	津市市	滨海新区长芦汉沽盐场有限责任公司职工医院
云南省	羊场煤矿职工医院		
北京市	北京市	中能建医院	
北京市	北京市	房山区	良乡医院
北京市	北京市	西城区	丰盛医院
河北省	庆阳市	宁县	抚宁县人民医院
河北省	沧州市	南皮县	人民医院
山西省	忻州市	原平市	太铁分局原平铁路医院
云南省	第三人民医院杨方凹分院		
山西省	长治市	沁源县	人民医院
山西省	朔州市	山阴县	人民医院
山西省	临汾市	襄汾县	人民医院
内蒙古自治区	赤峰市	林西县	医院
内蒙古自治区	赤峰市	安定医院	
内蒙古自治区	赤峰市	红山区	中医医院
内蒙古自治区	通辽市	科左中旗人民医院	
内蒙古自治区	呼伦贝尔市	海拉尔区	人民医院
吉林省	通化市	梅河口市	铁路医院
吉林省	中医药科学院第一临床医院		
吉林省	吉林市	新世纪医院	
黑龙江省	哈尔滨市	公共汽车总公司医院	
湖南省	长沙市	长沙唯德医院	
辽宁省	沈阳市	第九人民医院	
辽宁省	沈阳市	东方市	菁华医院有限公司
辽宁省	沈阳市	辽中县中医院	
辽宁省	沈阳市	739医院	
湖南省	岳阳市	监狱医院	
陕西省	泾阳商业职工医院		
辽河油田总医院（渤海院区）			
黑龙江省	农垦总局八五三农场职工医院		
黑龙江省	齐齐哈尔市	克东县	医院
黑龙江省	齐齐哈尔市	公安医院	
黑龙江省	鸡西市	鸡矿医院有限公司	
黑龙江省	大庆市	电业局医院	
黑龙江省	大庆市	老年医院	
黑龙江省	大庆市	肇源县	中医院
黑龙江省	七台河市	中医医院	
黑龙江省	牡丹江市	医学院附属红旗医院	
黑龙江省	黑河市	孙吴县	中医医院
黑龙江省	绥化市	明水县	中医医院
黑龙江省	绥化市	青冈县	人民医院
黑龙江省	大兴安岭地区	康仁医院	
中国人民解放军第四五四医院			
中国电子科技集团公司第55研究所职工医院			
江苏省	南京市	下关区小市医院	
北方信息控制集团有限公司职工医院			
江苏省	南京市	林业大学医院	
江苏省	南京市	紫金医院	
江苏省	无锡市	宜兴市	官林医院
江苏省	无锡市	锡山区	人民医院
中国人民解放军第515医院			
浙江省	杭州市	建国医院	
浙江省	杭州市	萧山区	第三人民医院
浙江省	中医药大学附属第二医院		
浙江省	中医院下沙分院		
浙江省	萧山医院		
江苏省	徐州市	钢铁厂职工医院	
江苏省	苏州市	太仓市	仁慈医院
江苏省	苏州市	常熟市	支塘人民医院
江苏省	苏州市	吴中区	尹山湖医院
江苏省	南通市	启东市	中医院
江苏省	南通市	海门市	人民医院
江苏省	扬州市	友好医院	
浙江省	温州市	东华医院有限公司	
浙江省	湖州市	南浔区	南浔久安老年医院
浙江省	金华市	义乌市	复元私立医院
浙江省	台州市	玉环市	第二人民医院
安徽省	蚌埠市	中医医院	
安徽省	淮南市	朝阳医院	
安徽省	铜陵市	中医医院	
安徽省	亳州市	蒙城县	第一人民医院
山东省	潍坊市	潍城经济开发区医院	
山东省	潍坊市	奎文区	中心医院
山东省	济宁市	交通医院	
山东省	临沂市	沂水县	人民医院
山东省	滨州市	立医院	
福建省	福州市	福清市	医院
山东省	日照市	五莲县	人民医院
山东省	东营市	胜利医院	
山东省	东营市	胜利胜采医院	
山东省	烟台市	光华医院	
山东省	烟台市	莱州市	二院
山东省	菏泽市	单县	中心医院
河南省	安阳市	林州市	人民医院
河南省	濮阳市	中医院	
河南省	濮阳市	金桥医院	
河南省	南阳市	淅川县	人民医院
河南省	周口市	太康县	人民医院
湖北省	武汉市	龙泉市	武钢矿业公司乌龙泉矿医院
湖北省	中西医结合医院		
湖北省	黄冈市	浠水县	中医医院
广东省	广州市	医科大学附属第一医院	
南方医科大学附属江都医院			
广东省	广州市	惠爱医院	
四川省	成都市	彭州市	中西医结合医院
四川省	成都市	西南民族大学校医院	
四川省	成都市	郫县中医院	
四川省	成都市	锦江区	第二人民医院
四川省	成都市	龙泉驿区	中医医院
四川省	成都市	龙泉驿区	第二人民医院
湖南省	岳阳市	屈原管理区人民医院	
四川省	成都市	西南财经大学医院	
广东省	汕头市	金平区	岐山医院
广东省	佛山市	中医院	
广东省	佛山市	中医院三水医院	
重庆市	重庆市	第一人民医院	
重庆市	重庆市	重钢总医院	
重庆市	重庆市	南川区	人民医院
四川省	成都市	温江区	中医医院
新疆维吾尔自治区	昌吉回族自治州	玛纳斯县	佳园医院（佳华实业总公司）
福建省	宁德市	霞浦县	中医院
泸化医院			
四川省	德阳市	绵竹市	中医医院
中国人民解放军520医院			
山东省	济宁市	建工医院	
四川省	广安市	武胜县	中医院
云南省	老年病医院		
云南省	昆明市	盘龙区	中医医院
陕西省	西安市	铁路工程医院	
陕西省	西安市	高压开关厂职工医院	
陕西省	中共陕西省委机关医院		
陕西省	咸阳市	三原县	人民医院
广东省	揭阳市	(红十字会)慈云医院	
广东省	广州市	医科大学第五附属医院	
浙江省	金华市	兰溪市	中医院
云南省	曲靖市	罗平县	人民医院
云南省	曲靖市	第四人民医院	
甘肃省	白银市	第一人民医院	
新疆维吾尔自治区	乌鲁木齐市	天山区	燕尔窝社区卫生服务中心红雁池第一发电有限责任公司职工医院
山东省	青岛市	莱西市	建旭医院
新疆维吾尔自治区	生产建设兵团农六师奇台医院		
新疆维吾尔自治区	巴音郭楞蒙古自治州	库尔勒市	人民医院
新疆维吾尔自治区	喀什地区	疏附县	人民医院
新疆维吾尔自治区	和田地区	人民医院西院区	
新疆维吾尔自治区	伊犁哈萨克自治州	霍城县	第一人民医院
北京市	北京市	延庆县医院	
云南省	临沧市	地区医院	
云南省	保山市	人民医院	
云南省	红河哈尼族彝族自治州第三人民医院		
辽宁省	本溪市	钢铁(集团)歪头山医院	
寻甸回族彝族自治县人民医院			
山东省	青岛市	黄岛区	中医医院
山东省	烟台市	海洋医院	
山东省	黄金矿业股份有限公司焦家金矿职工医院		
威里医院			
中国人民解放军联勤保障部队第九七〇医院			
吉林省	延边朝鲜族自治州	和龙市	中医医院
江西省	南昌市	第三医院	
吉林省	长春市	地矿医院	
河北省	唐山市	开平市	医院
贵州省	遵义市	碱厂职工医院	
江西省	赣州市	宁都县	人民医院
北京市	北京市	首都医科大学附属北京市天坛医院	
广东省	中国人民武装警察部队广东省总队医院		
云南省	丽江市	宁蒗彝族自治县	人民医院
中国人民解放军陆军第八十三集团军医院			
福建省	宁德市	周宁县	医院
中国人民解放军联勤保??障部队第925医院			
山东省	青岛市	南海天医院	
新疆维吾尔自治区	石河子市	地区兵团农八师150团职工医院	
河北省	张家口市	红十字医院	
浦江第二医院			
中国人民解放军联勤保障部队第九一0医院			
浙江省	台州市	路桥区	中医院医共体路北分院
吉林省	公安边防总队医院		
江西省	赣州市	会昌县	中医院
四川省	达州市	陆军医院	
福建省	莆田市	涵江区	平民医院
海南省	儋州市	人民医院	
广东省	佛山市	南海区	第四人民医院
北京市	北京市	朝阳区	团结湖医院
浙江省	台州市	发电厂职工医院	
皖北煤电集团总医院任楼矿医院			
广西壮族自治区	百色市	人民医院	
四川省	成都市	青白江区	同济医院
山东省	青岛市	即墨市中医医院	
吉林省	延边朝鲜族自治州	安图县	中医医院
重庆市	重庆市	万州区	港口医院
吉林省	长春市	天来糖尿病医院	
天津市	天津市	津市市	和睦家医院有限公司
江苏省	苏州市	昆山市	协和医院
山东省	烟台市	高新区滨海医院	
辽宁省	营口市	经济技术开发区熊岳印染医院	
广东省	广州市	博济医院	
新疆维吾尔自治区	乌鲁木齐市	明德医院建国路分院	
山东省	淄博市	大众医院	
江西省	电力公司柘林水电厂职工医院		
湖北省	咸宁市	赤壁市	中医医院
中建八局工业设备安装有限责任公司职工医院			
中国化学工程第十一建设公司医院			
黑龙江省	佳木斯市	金天慈济医院	
辽宁省	锦州市	石油化工公司医院	
重庆市	重庆市	红十字博爱医院	
巴州济民医院			
辽宁省	本溪市	老年卫生工作者协会医院	
江苏省	无锡市	江阴市	中西医结合医院
河北省	保定市	同济医院	
山东省	泰安市	新汶矿业集团有限责任公司禹村医院	
中铁五局集团第一工程有限责任公司职工医院			
四川省	绵阳市	北川羌族自治县	人民医院
河南省	南阳市	镇平县	中医院
内蒙古自治区	呼伦贝尔市	根河市	中医院
黑龙江省	农垦总局红卫农场职工医院		
新疆维吾尔自治区	生产建设兵团农七师奎东农场医院		
毛集实验区人民医院			
陕西省	第一针织有限公司医院		
天津市	天津市	津市市	河西区紫荆花代谢病医院
山东省	临沂市	天元医院	
江苏省	徐州市	铜山县中医医院	
天津市	天津市	南安市	津南安济医院
河南省	平顶山市	煤业(集团)梨园矿职工医院	
湖北省	武汉市	商业职工医院汉阳分院	
云南省	大理白族自治州	大理市	大学附属医院
湖南省	中医药高等专科学校附属第一医院		
江苏省	盐城市	滨海县	正洪医院
山东省	青岛市	莱西市	城北医院
山东省	烟台市	东海中西医结合医院	
山西省	大同市	德瑞医院	
双流蛟龙港医院有限公司			
中国人民解放军第285医院			
河南省	平顶山市	煤业(集团)三环公司职工医院	
安徽省	铜陵市	有色金属(集团)公司石城医院	
云南省	丽江市	华坪县	中医医院
新疆维吾尔自治区	生产建设兵团农十师一八二团医院		
内蒙古自治区	通辽市	博爱中西医结合医院	
江苏省	南通市	如皋市	港人民医院
河北省	唐山市	遵化市	东新庄医院
山东省	青岛市	城阳明仁医院	
河南省	南阳市	张仲景国医院	
山东省	泰安市	东平县	第三人民医院
湖北省	宜昌市	惠民医院	
贵州省	黔南布依族苗族自治州	瓮安县	中医院
江苏省	苏州市	张家港市	澳洋医院三兴分院
重庆市	重庆市	济民医院	
中国人民解放军第五七二0工厂职工医院			
新疆维吾尔自治区	伊犁哈萨克自治州	伊宁市	再兴民营医院(伊宁)
辽河油田总医院（沈采）			
安徽省	淮南市	东方市	医院集团李郢孜中心医院
河南省	南阳市	方城县	第二人民医院
山东省	青岛市	北健民医院	
青海省	武警青海总队医院		
宁和医院			
山东省	东营市	利津县	第二人民医院
内蒙古自治区	巴彦淖尔市	临河区	胜利医院
河南省	平顶山市	神马医院	
喀左县第四人民医院			
江西省	江氨化工有限责任公司职工医院		
中铁三局集团第二工程有限公司医院			
山东省	烟台市	东源医院	
吉林省	吉林市	康圣医院	
黑龙江省	龙镇农场职工医院		
江苏省	扬州市	广陵区	中医院
河北省	衡水市	卫校附属医院	
河南省	安阳市	林州市	第二人民医院
湖北省	武汉市	新江南医院	
江苏省	无锡市	建国中医院	
吉林省	吉林市	昌邑区	中国农业科学特产研究所职工医院
中国海洋石油南海西部医院			
河南省	商丘市	柘城县	公费医疗医院
山西省	晋城市	第三人民医院	
陕西省	西安市	长庆油田职工医院	
广西壮族自治区	南宁市	友爱医院	
湖南省	常德市	职业技术学院附属第二医院	
黑龙江省	大庆市	龙凤区	人民医院
安徽省	淮北市	电力公司淮北供电公司职工医院	
重庆市	重庆市	第二建设有限公司职工医院	
湖北省	随州市	曾都区	惠民医院
广东省	第二荣军医院		
陕西省	咸阳市	西橡医院	
山东省	烟台市	莱州市	博爱医院
山东省	烟台市	莱州市	寨徐医院
湖北省	荆门市	京山市	县第四人民医院
辽宁省	沈阳市	爱心医院	
宁夏回族自治区	银川市	灵武市	康健医院
葛洲坝水利水电工程集团三峡医院			
辽宁省	大连市	监狱医院	
湖南省	娄底市	双峰县	中医医院
河北省	邯郸市	冀中能源峰峰集团邯郸医院	
山东省	济宁市	邹城市	红十字杏花村医院
四川省	绵阳市	第三人民医院富乐分院	
中国人民解放军61699部队医院			
辽宁省	辽阳市	第九人民医院	
浙江省	宁波市	慈溪市	城东医院
山东省	青岛市	城阳仁德医院	
天津市	天津市	滨海塘沽荣华中医医院	
山东省	济宁市	梁山县	红十字会博爱医院
甘肃省	陇南市	武都区	中医医院
新疆维吾尔自治区	克拉玛依市	第二人民医院	
中国人民解放军联勤保障部队第九〇三医院机场路分院			
辽宁省	马三家劳动教养院医院		
陕西省	榆林市	定边县	医院
四川省	成都市	攀钢集团成都市钢铁有限责任公司总医院	
北京市	北京市	天安中医院	
云南省	磷化学工业(集团)公司昆阳磷矿职工医院		
云南省	昆明市	第二建筑工程公司职工医院	
河北省	邯郸市	成安县	人民医院
内蒙古自治区	乌兰察布市	商都县	医院
湖北省	民族学院附属民大医院		
广西壮族自治区	南宁市	水电医院	
北京市	北京市	第六医院二部	
湖北省	宜昌市	中医医院	
陕西省	西安市	瑞丽市	莲湖瑞丽医院
天津市	天津市	津市市	都市医院
四川省	泸州市	叙永县	中医医院
山西省	大同市	天镇县	人民医院
河北省	石家庄市	晋州市	中西医结合医院
赤天化集团职工医院			
农六师一零八团医院			
普陀医院六横分院			
龙感湖人民医院			
北京市	北京市	密云区	第二人民医院
辽宁省	鞍山市	鞍钢集团鞍山矿业公司齐大山医院	
农八师121团炮台镇医院			
江川县中医医院			
广东省	湛江市	吴川市	中医院
中国人民解放军61623部队医院			
黑龙江省	哈尔滨市	华医过敏性疾病医院	
黑龙江省	哈尔滨市	呼兰区	红十字医院
呼兰县第二人民医院			
山东省	潍坊市	奎文红旗医院	
广东省	湛江市	廉江市	中医医院
天津市	天津市	津市市	武清区梅厂医院
天津市	天津市	京津医院	
浦沅医院			
湖南省	怀化市	新晃侗族自治县	中医医院
南方医科大学顺德医院附属陈村医院			
广东省	深圳市	慢性病医院	
浦江中医院			
江苏省	南京市	三五O三服装总厂职工医院	
高淳狮树医院			
中煤第一建设有限公司职工医院			
河北省	邯郸市	邯郸市县医院	
上海市	上海市	崇明县第三人民医院	
湖南省	岳阳市	华容县	南省岳阳市华容县人民医院
中国人民解放军陆军第七十一集团军医院			
内蒙古自治区	包头市	青山区	医院
湖南省	长沙市	普惠医院	
河北省	石家庄市	赵县	人民医院
江苏省	常州市	新北区	孟河中医医院
江苏省	苏州市	昆山市	淀山湖人民医院
河南省	商丘市	宁陵县	中医院
河南省	周口市	郸城县	人民医院
河南省	周口市	郸城县	中医院
江西省	新余市	第二人民医院	
江苏省	盐城市	阜宁县	第二人民医院
吉林省	四平市	伊通满族自治县	第一人民医院
内蒙古自治区	呼和浩特市	济民中西医结合医院	
重庆市	重庆市	涪陵太康医院	
广西壮族自治区	南宁市	横县	中医医院
浙江省	杭州市	绿康医院	
内蒙古自治区	鄂尔多斯市	准格尔旗	人民医院
中国人民解放军第六九O五工厂职工医院			
河南省	开封市	中医院	
安徽省	合肥市	瑶海区	曙光医院(合肥市瑶海区第二人民医院)
安徽省	宿州市	泗县	中医医院
湖北省	武汉市	冶金设备制造公司职工医院	
山东省	章丘市明水汇泉路医院		
新疆维吾尔自治区	和田地区	策勒县	人民医院
山东省	青岛市	公安消防医院	
福建省	福州市	平潭县	中医院
山东省	济南市	华夏医院	
山东省	淄博市	冶金医院	
山东省	淄博市	商业职工医院	
河北省	唐山市	乐亭县	医院
鹤煤(集团)公司二矿医院			
江西省	宜春市	上高县	人民医院
道真仡佬族苗族自治县人民医院			
